genre,char_name,nb_movies,percentage
Drama,John,701,0.007477173820291834
Drama,Jack,426,0.004543903063401314
Drama,Mary,379,0.004042580424950934
Drama,Joe,338,0.003605256421196348
Drama,Paul,334,0.0035625906647324857
Drama,Frank,333,0.00355192422561652
Drama,George,325,0.003466592712688796
Drama,David,324,0.0034559262735728304
Drama,Tom,307,0.0032745968086014166
Drama,James,280,0.0029866029524703475
Comedy,John,261,0.00492973708068903
Comedy,Jack,249,0.004703082502266546
Comedy,Joe,193,0.0036453611362949534
Comedy,Frank,187,0.0035320338470837113
Comedy,George,186,0.003513145965548504
Comedy,Sam,181,0.0034187065578724692
Comedy,Mary,180,0.003399818676337262
Comedy,Tom,165,0.003116500453309157
Comedy,Bob,161,0.003040948927168329
Comedy,Paul,152,0.0028709579933514657
Thriller,John,304,0.00780127283925272
Thriller,Jack,246,0.006312872100184767
Thriller,Frank,183,0.004696160952576473
Thriller,James,152,0.00390063641962636
Thriller,David,151,0.003874974337918292
Thriller,Michael,151,0.003874974337918292
Thriller,Tom,145,0.003721001847669883
Thriller,Sam,141,0.0036183535208376104
Thriller,Paul,130,0.0033360706220488608
Thriller,Mike,127,0.003259084376924656
Romance,John,233,0.006348600855562519
Romance,Jack,146,0.003978093239966214
Romance,Mary,142,0.0038691043840767283
Romance,Paul,129,0.0035148906024359008
Romance,Joe,127,0.003460396174491158
Romance,George,125,0.0034059017465464156
Romance,David,117,0.003187924034767445
Romance,Frank,113,0.00307893517887796
Romance,Tom,112,0.0030516879649055886
Romance,Sam,111,0.0030244407509332173
Action,John,252,0.008154284235050479
Action,Jack,187,0.006050996634739839
Action,Frank,149,0.004821382345327465
Action,James,147,0.004756665803779446
Action,Joe,105,0.003397618431271033
Action,Tom,101,0.0032681853481749935
Action,Sam,96,0.003106393994304944
Action,Sheriff,91,0.002944602640434895
Action,Michael,90,0.0029122443696608853
Action,Jim,85,0.002750453015790836
